,Nº de Serie,Potencia
79,P0001,665550.0
0,P0002,61200.0
80,P0004,239520.0
1,P0005,31160.0
3,P0006,320680.0
4,P0007,57800.0
81,P0009,214020.0
82,P0010,100120.0
2,P0011,54400.0
5,P0013,18000.0
6,P0014,62550.0
83,P0015,63600.0
7,P0017,3600.0
8,P0018,84630.0
9,P0022,18020.0
10,P0023,171000.0
11,P0024,24380.0
12,P0025,24380.0
16,P0026,24910.0
14,P0027,24910.0
13,P0028,22260.0
15,P0029,24910.0
84,P0030,203400.0
17,P0031,22260.0
18,P0032,24910.0
19,P0033,24910.0
20,P0034,81750.0
21,P0035,15900.0
85,P0036,15900.0
22,P0037,48760.0
24,P0038,24910.0
23,P0039,38160.0
47,P0040,17600.0
48,P0041,65400.0
74,P0042,
86,P0043,15900.0
49,P0044,24910.0
78,P0045,30740.0
77,P0046,24910.0
76,P0047,24910.0
50,P0048,78300.0
72,P0049,128000.0
75,P0050,211200.0
25,P0051,55590.0
27,P0052,76320.0
26,P0053,22790.0
29,P0054,23320.0
39,P0055,39240.0
44,P0056,52865.0
32,P0057,42930.0
53,P0058,39785.0
43,P0059,32330.0
28,P0060,31800.0
54,P0061,31610.0
57,P0062,25440.0
31,P0063,21800.0
52,P0064,22790.0
30,P0065,26705.0
33,P0066,16430.0
34,P0067,20140.0
38,P0068,19080.0
37,P0069,13080.0
42,P0070,38150.0
58,P0071,33790.0
65,P0072,26500.0
55,P0073,15900.0
60,P0074,10900.0
62,P0075,15900.0
61,P0076,15805.0
46,P0077,15900.0
45,P0078,9265.0
40,P0079,25055.0
56,P0080,27560.0
51,P0081,15805.0
41,P0082,19075.0
89,P0083,47700.0
91,P0086,47700.0
88,P0087,31800.0
90,P0088,95400.0
59,P0090,213080.0
73,P0091,228900.0
35,P0092,27250.0
87,P0093,95400.0
63,P0094,206010.0
66,P0095,127200.0
64,P0097,103500.0
67,P0099,
68,P0100,
36,P0111,21500.0
71,P0114,1332150.0
69,P0123,604650.0
70,P0124,400520.0
